Aboub, o Generoso - 0
Dragoochicote, o Extasiado - 0
Dragorio, o Robusto - 1
Dragorsso, o Selvagem - 1
Dragoskovit, o Descalço - 1
Dragospel, o Rubro - 1
Dragossipo, o resmungão - 0
Dragostino, o Minúsculo - 1
Dragotitis, o Penoso - 0
Dragovsky, o ChamadoDeCisne - 0
Drakoamax, o Mal - 1
Drakokidoki, o Voluntário - 0
Dregatão, o Latino - 0
Dregercheen, o musicista - 0
Dregog, o Neozolandês - 0
Dregoliz, o Macho - 0
Dregomon, o Mastigador - 0
Dregoniz, o Ousado - 1
Dregonzola, o queijoso - 0
Dregquântico, o Treinador - 1
Dregriado, o Pianista - 1
Dregumpi, o Anão - 1
Edcogumunch, o Berrador - 0
Emboscador Azarado - 1
Escorbisão, o Solitário - 0
Eskoko, o Nobre - 1
Ezothbeitor, o Vizinho - 1
Ferrético, o Golpeador - 1
Floramodovar, o encaroçado - 1
Floratio, o Investigador - 1
Follikoko, o Alcolchoado - 0
Frengassa, o Bonitão - 0
Fung Ku, o Mestre - 0
Ganon, o Pigmeu - 1
Gargoyla, - 1
Ghostabrava, o Turista - 1
Ginsync, o Hiperativo - 1
Glukoko, o Lento - 1
Gobbach, ContraTrocadilho - 1
Gobbalada, o Romântico - 1
Gobbalirro, o Barulhento - 1
Gobbalki, o Teimoso - 1
Goblimpo, o Kid Biscoito - 0
Grabbito, o Corredor - 0
Gransnakizanami, o Soberano - 0
Greedodoff, o Cavalheiro - 1
Hazwonbola, o Enfadonho - 0
Iniolho, o Narcisista - 1
Jackellinton, o Abóbora - 0
Jackoalak, o Espetacular - 1
Jackoalak, o Lunático - 1
Javalino, o Brilhante - 1
Javalisso, o Avermelhado - 1
Jeleposucato, o Magro - 1
Jelleno, o Desafortunado - 0
Jellvis, o Rei - 0
Jiminicrackler, o Consciente - 1
Kidodo, o Extinto - 0
Kilua, o Infiltrador - 0
Kirevampiro, o Rival - 1
Kitchi, o Raspador - 1
Kitsewei, o Azul - 1
Kitsouie, o Verde - 1
Kitsuei, o Vermelho - 1
Koalakarquiteto, o Equilibrado - 1
Koalakropolis, o Rei das Colinas - 0
Koald, o Brilhante - 0
Koald, o Irritado - 1
Koali, o Ocioso - 1
Koalsen, o Parecido - 1
Koelogue, o Criador - 1
Kojaclator, o Desmancha Prazer - 1
Kokonam, o Tagarela - 0
Koleraspotin, o Insensível - 1
Krabaoli, o Paciente - 1
Kwoanium, o Esperto - 0
Ladinamite, o Explosivo - 1
Ladinosujo, o Desarrumado - 1
Larvadelaide, o Infantil - 1
Larvalaska, o Frio - 0
Larvalencia, o Laranja - 0
Leopardon, o Sentido - 1
Leorio, o Assombrado - 1
Lert Macraken, o Chorão Acomodado - 1
Lorde the Vampiric - 0
Lupisnóquio, o Lobo Amadeirado - 1
MamãeKalak, a Bibliomaníaca - 0
Matcogucogu, o Faiscante - 1
McWhabbit, o Inflexível - 0
Mililibum, o Delator - 1
Miliopoldo, o Fracassado - 1
Milivanilli, o Mímico - 1
Minocnoc, o Visitante - 1
Minoskitou, o Colorido - 1
Miomaho, o Siciliano - 1
Misskokoko, o Chanel - 1
MoMaho, o Modernista - 1
Moops, o Garoto Bolha - 1
Mopés, o Redodndo - 1
Mopidik the Mire - 1
Moskoitos, o Interruptor - 1
Mufavabemz, o Canibal - 1
Mushdrill, o Furador - 0
Mushulieta the Catapuleta - 0
Nabucodonozor, o Consquistador - 0
Nidsally, o Selvagem - 1
Niptuk the Plasticínio - 0
Oniolho, o Ridículo - 1
Osurcus, o Domador - 1
Ouassingiam, o Déspota - 0
Ouassingue, o Perdido - 0
Ouassup, o Irritante - 0
Ougatarda, o Bem-aventurado - 1
Padeiro das Tumbas - 1
Palmei, o Herbívoro - 0
Palmela, o Robusto - 0
Palmipiloto, o Bem-sucedido - 0
Palmofolha, o Gorduroso - 1
Pandora, o Explorador - 0
Pandali, o Surreal - 0
Pandaltri, o Desconhecido - 1
Pandan, o Desesperado - 1
Pandartametal, o Atrativo - 0
Pandarwin, o Naturalista - 1
Pandipoope, o Fantástico - 1
Pandoraclo, o Lado Obscuro da Força - 0
Pandumonium, o Cômico - 0
Pighatchoo, o Elétrico - 1
Piktoven, o Surdo - 1
Piralhaka, o Intimidador - 1
Piwi, o Emplumado - 1
Piwicker, o Macho - 1
Piwigem, o Chefe - 1
Piwiki, o Genial - 1
Piwiliam, o Valente - 1
Piwinston, o Rude - 1
Pocher o Reiponga. - 1
Polterghaisk, a Alma Perdida - 1
Popoalak, o Castanho - 1
Porcaladino, o Imundo - 1
Porcostola, o Insinuante - 0
Porcotaça, útil - 0
Presruela, o Lutador - 1
Prikoko, o Estúpido - 1
Quetnin, o Fictício - 1
Ratalo, o Ativo - 0
Ratatuli, o Intrigante - 1
Ratilla, o Huno - 0
Raul Modrid, o Chulo - 1
Rib, o Despedaçado - 1
Rolls de Royce - 1
Romush, o Montecchi - 0
Rosana, a Nórdica - 1
Ryukualak, o Entediado - 1
Salamaa, a Dominadora de Maridos - 1
Satonuki, o Plastificado - 0
Scarabroso, o Pequeno - 1
Scaraflorido, o Contador de Lorotas - 0
Scarafolhado, o Beliscador - 0
Scarafolhoso, o Destruidor - 1
Scaramato, o Carrasco - 0
Serpico, o Honesto - 0
Snailmetalica, Interiorano - 0
Snapoalak, o Ruivo - 1
Sorgyo, o Tagarelox de Corox - 1
Sparodi, o Peçonhento - 0
Spicogugodon, o cabeludo - 1
Spicoguia, o Viajante - 1
Spicogukitaro, o Leal - 0
Spicoguti, o Fedorento - 1
Stewart, o Animal Pescador - 0
Supergwass, o Livre - 1
Suzessmano, o Entusiasmado - 1
Tanako, o Observador - 1
Tanno, o Dominador - 1
Tanukhiraru, o Talentoso - 1
Tanukhuina, o Puxador - 1
TanuKiki, o Fantasma Livre - 1
Tanuktonico, o Tantan - 1
Tartacalo, o Chifrudo - 1
Tartanime, o Experiente - 1
Tartatapa, o Fechado - 1
Tartenaldo, o Dramático - 1
Tiwaldo, o Escondido - 1
Tiwana, o Sinal - 1
Tiwascal, o Coberto - 1
Tofudo, o Caçador - 0
Tofulo, the Otimista - 0
Tofulsom, o Carcereiro - 1
Treekalack, o Triste - 0
Treekness, o Preto - 1
Treekniddioo, o Indigente - 0
Treeknidylus - 0
Treekonk, o Abalado - 0
Treekstabalo, o Psíquico - 1
Treektamak, o Escandaloso - 0
Trooligan the Bulldogg - 0
Trumpanor, o Sobrevivente - 0
Trunkbardo, o Gentil - 1
Vamp, o Empalador - 1
Wabbin, o Rico - 0
Wabbitor, o Capaz - 1
Warazpacho, the Cherrilla - 0
Warko, o Escurecido - 1
Worka, o Determinado - 1
Wowalker, o Egípcio - 0
Xamãsselo, o Absorto - 1
Yokai, o Corista - 1
Yoksai, o Corajoso - 1
Zigzoth, o Indeciso - 1
Zorrose, o Messicano - 1
Zouzoth, o Carinhoso - 1
